tempoInicio,tempoDigitando,user,codExperimento,peticao,horarioRecebido
00:22:15,00:18:47,1662,1.0,"DO MÉRITO


Trata-se de MEMORIAIS, com fundamento no Art. 403 §3º do CPP


No dia 10/08/2020 Roberto e Ricardo foram presos em flagrante às 19 horas, sendo em seguida denunciados pelo crime Art. 155, §4º, incisos I e IV,  do CP e do Art. 14, II do CP.  
Diante dos fatos apresentados e investigados, a suposta tentativa do crime praticado pelos réus, nem poderia se concretizar, visto que, um ofício enviado pelo próprio banco, diz que a estrutura dos caixas eletrônicos são imunes a ação mecãnica do homem. Desse modo seria impossível a consumação do crime, assim como dispõe o Art. 17 do CP
   
Art. 17 - Não se pune a tentativa quando, por ineficácia absoluta do meio ou por absoluta impropriedade do objeto, é impossível consumar-se o crime.

A natureza jurídica do crime impossível é a exclusão da tipicidade, desta forma o fato praticado por Ricardo e Rafael deixa de ser típico. 


","06/11/2023, 21:27:07"
00:19:59,00:19:23,1662,1.0,"Do Direito.
Considerando os réus Ricardo e Roberto pela prática de tentitva de furto qualificado com fulcro no Art. 155§4, inc. I e IV do CP.
EX. dr juiz de direito da 5º vara criminal da comarca de Bernabeu, esta defesa suplica por medida adversa da prisão pelos seguintes fatos:
O réu Ricardo, apesar de ter já praticado crime de furto (art. 155 CP) não apenas cumpriu sua pena como o processo já foi extinto, incompatibilizando com a convenção em prisão temporária, pois o réu não trás se quer, no contexto atual, os periculo in mora constado no art. 319 CPP, pois já, teve sua pena cumprida e extinta. Por tanto pede-se a liberdade provisória do apenado.
Enquanto ao réu Roberto, este inclui-se como réu primário, não tendo nenhuma circunstância agravante que cause o mesmo perigo que consta no art. 319 CPP. Portanto, suplica-se pela liberdade provisória ou o deferimento do HC já impretado em seu favor.
Pede-se e espera deferimento.

","06/11/2023, 21:27:19"
00:32:11,00:29:46,1662,1.0,"Memoriais 


Do Direito


O crime que os réus deste processo respondem trata-se de um CRIME IMPOSSÌVEL, tendo em vista que com um serrote e uma chave de fenda os acusados jamais conseguiriam transpor a estrutura de aço do caixa eletrônico. O Art. 17 do Código Penal fala sobre a impossibilidade do ato ilícito. Os reús utilizaram de meio ineficaz o que tornou impossível a consumação do crime. 


Art. 17 - Não se pune a tentativa quando, por ineficácia absoluta do meio ou por absoluta impropriedade do objeto, é impossível consumar-se o crime. (Redação dada pela Lei no 7.209, de 11.7.1984).

Desta forma, pela atipicidade da conduta, os reús precisam ser absolvidos.

De forma subsidiária, é necessário que seja considerada também o afastamento da qualificadora de rompimento de obstáculo, uma vez que de acordo com o Art. 158 do CPP, pois a incidência depende de perícia, que deveria ter sido requerida pela acusação. 

Art. 158. Quando a infração deixar vestígios, será indispensável o exame de corpo de delito, direto ou indireto, não podendo supri-lo a confissão do acusado. 

Também é importante se levar em conta, em caso de condenação, a confissão espotânea dos reús e o tempo que eles passaram presos para detração penal. 

Por último, que seja fixado o mínimo legal de pena, Art 33 do CP.","06/11/2023, 21:27:29"
00:31:44,00:27:16,1662,1.0,"AO JUÍZO DA 05ª VARA CRIMINAL DA COMARCA DE BARBABEU-CN. 


 I - QUALIFICAÇÃO. 


II - SINOPSE FÁTICA. 


III - DO MÉRITO.  
III.1 -  APLICAÇÃO DO PRINCÍPIO DA INSIGNIFICÂNCIA.

O princípio decorre do entendimento de que o direito penal não deve se preocupar com condutas em que o resultado não é suficientemente grave a ponto de não haver necessidade de punir o agente nem de se recorrer aos meios judiciais, por exemplo, no caso de um furto de pequeno valor ou da tentativa deste, como é o caso em questão.

Conforme exposto, torna-se possível a aplicação do princípio da insignificância no caso em tela, pois em nenhum momento houve a consumação do crime disposto no art. 155 § 4º, incisos I e IV do CP,  senão, vejamos o entendimento já consolidado do Emérito STJ: 

AgRg no HABEAS CORPUS Nº 258.962 - MG (2012/0236435-0) RELATOR : MINISTRO JORGE MUSSI AGRAVANTE : LEONARDO PEREIRA CANEDO DE OLIVEIRO (PRESO) ADVOGADO : DEFENSORIA PÚBLICA DA UNIÃO AGRAVADO : TRIBUNAL DE JUSTIÇA DO ESTADO DE MINAS GERAIS EMENTA AGRAVO REGIMENTAL NO HABEAS CORPUS. FURTO TENTADO. PRINCÍPIO DA INSIGNIFICÂNCIA. APLICAÇÃO. IMPOSSIBILIDADE. REITERAÇÃO DELITIVA. MULTIREINCIDÊNCIA. AUSÊNCIA DE REDUZIDO GRAU DE REPROVABILIDADE DO COMPORTAMENTO. AGRAVO IMPROVIDO. 1. A aplicação do princípio da insignificância reflete o entendimento de que o Direito Penal deve intervir somente nos casos em que a conduta ocasionar lesão jurídica de certa gravidade, devendo ser reconhecida a atipicidade material de perturbações jurídicas mínimas ou leves, estas consideradas não só no seu sentido econômico, mas também em função do grau de afetação da ordem social que ocasionem. 2. Segundo a jurisprudência do Supremo Tribunal Federal, o princípio da insignificância tem como vetores a mínima ofensividade da conduta, a nenhuma periculosidade social da ação, o reduzido grau de reprovabilidade do comportamento e a inexpressividade da lesão jurídica provocada. 3. Inviável a incidência do referido brocardo, in casu, porquanto o paciente é multireincidente, situação apta a ensejar a incidência do Direito Penal como forma de coibir a reiteração delitiva (precedentes). 4. Agravo regimental improvido. ACÓRDÃO Vistos, relatados e discutidos estes autos, acordam os Ministros da Quinta Turma do Superior Tribunal de Justiça, na conformidade dos votos e das notas taquigráficas a seguir, por unanimidade, negar provimento ao agravo regimental. Os Srs. Ministros Gurgel de Faria, Newton Trisotto (Desembargador convocado do TJ/SC), Walter de Almeida Guilherme (Desembargador convocado do TJ/SP) e Felix Fischer votaram com o Sr. Ministro Relator. Brasília (DF), 18 de novembro de 2014(Data do Julgamento) MINISTRO JORGE MUSSI Relator.

AgRg no AgRg no RECURSO ESPECIAL Nº 1.705.182 - RJ (2017/0269640-8) RELATOR : MINISTRO JORGE MUSSI AGRAVANTE : MINISTÉRIO PÚBLICO DO ESTADO DO RIO DE JANEIRO AGRAVADO : IVAIR DE ALMEIDA ALEXANDRE ADVOGADO : DEFENSORIA PÚBLICA DO ESTADO DO RIO DE JANEIRO EMENTA RECURSO ESPECIAL. FURTO SIMPLES. TENTATIVA. PRINCÍPIO DA INSIGNIFICÂNCIA. APLICABILIDADE. RÉU TECNICAMENTE PRIMÁRIO. EXCEPCIONALIDADE ADMITIDA. VALOR IRRISÓRIO DA COISA FURTADA. CIRCUNSTÂNCIAS DO CASO CONCRETO. 1. O princípio da insignificância jamais pode surgir como elemento gerador de impunidade, mormente em se tratando de crime contra o patrimônio, pouco importando se o valor da res furtiva seja de pequena monta, até porque não se pode confundir bem de pequeno valor com o de valor insignificante ou irrisório, já que para aquela primeira situação existe o privilégio insculpido no § 2º do artigo 155 do Código Penal. 2. Para a verificação da lesividade mínima da conduta, apta a torná-la atípica, deve-se levar em consideração a mínima ofensividade da conduta do agente; a ausência de periculosidade social da ação; o reduzido grau de reprovabilidade do comportamento; e a inexpressividade da lesão jurídica provocada. 3. A aplicação do princípio da insignificância demanda o exame do preenchimento de certos requisitos objetivos e subjetivos, traduzidos no reduzido valor do bem tutelado e na favorabilidade das circunstâncias em que foi cometido o fato criminoso e de suas consequências jurídicas e sociais. 4. Caso em que se verifica se tratar de situação que atrai a incidência excepcional do princípio da insignificância, consideradas a primariedade do réu e as circunstâncias em que o delito ocorreu (tentativa de furto simples de tubos de desodorante contra estabelecimento comercial), o valor reduzido da res furtiva e a natureza do bem subtraído. 5. Agravo regimental desprovido. ACÓRDÃO Vistos, relatados e discutidos estes autos, acordam os Ministros da Quinta Turma do Superior Tribunal de Justiça, na conformidade dos votos e das notas taquigráficas a seguir, por unanimidade, negar provimento ao agravo regimental. Os Srs. Ministros Ribeiro Dantas, Joel Ilan Paciornik e Felix Fischer votaram com o Sr. Ministro Relator. Ausente, justificadamente, o Sr. Ministro Reynaldo Soares da Fonseca. Brasília (DF), 28 de maio de 2019(Data do Julgamento) MINISTRO JORGE MUSSI Relator}.
","06/11/2023, 21:27:30"
00:00:14,00:00:00,1662,1.0,,"06/11/2023, 21:28:06"
00:00:05,00:00:01,1662,1.0,xxx,"06/11/2023, 21:28:32"
00:00:15,00:00:05,1662,1.0,art 6,"06/11/2023, 21:28:58"
00:08:45,00:08:41,1662,1.0,"Art. 302, I, II, III, IV do CPP 
Art. 311 CPP
Art. 17, II, CP  
Art. 14 CP 
Art. 155 CP","06/11/2023, 21:29:39"
00:31:48,00:29:58,1662,1.0,"DO MÉRITO:

Conforme os fatos expostos, fica claro e evidente que o autor não coneguiria de forma alguam furtar um cofre bancario que possi alto nivel de segurança com e somente um serrote, chave de fenda e alicate.Ora , por obvio fica claro que deverá ser aplicado o principio da insignificancia, como demostrado na jurisprudencia Art. 14 do CP



""AgRg no HABEAS CORPUS Nº 258.962 - MG (2012/0236435-0) RELATOR : MINISTRO JORGE MUSSI AGRAVANTE : LEONARDO PEREIRA CANEDO DE OLIVEIRO (PRESO) ADVOGADO : DEFENSORIA PÚBLICA DA UNIÃO AGRAVADO : TRIBUNAL DE JUSTIÇA DO ESTADO DE MINAS GERAIS EMENTA AGRAVO REGIMENTAL NO HABEAS CORPUS. FURTO TENTADO. PRINCÍPIO DA INSIGNIFICÂNCIA. APLICAÇÃO. IMPOSSIBILIDADE. REITERAÇÃO DELITIVA. MULTIREINCIDÊNCIA. AUSÊNCIA DE REDUZIDO GRAU DE REPROVABILIDADE DO COMPORTAMENTO. AGRAVO IMPROVIDO. 1. A aplicação do princípio da insignificância reflete o entendimento de que o Direito Penal deve intervir somente nos casos em que a conduta ocasionar lesão jurídica de certa gravidade, devendo ser reconhecida a atipicidade material de perturbações jurídicas mínimas ou leves, estas consideradas não só no seu sentido econômico, mas também em função do grau de afetação da ordem social que ocasionem. 2. Segundo a jurisprudência do Supremo Tribunal Federal, o princípio da insignificância tem como vetores a mínima ofensividade da conduta, a nenhuma periculosidade social da ação, o reduzido grau de reprovabilidade do comportamento e a inexpressividade da lesão jurídica provocada. 3. Inviável a incidência do referido brocardo, in casu, porquanto o paciente é multireincidente, situação apta a ensejar a incidência do Direito Penal como forma de coibir a reiteração delitiva (precedentes). 4. Agravo regimental improvido. ACÓRDÃO Vistos, relatados e discutidos estes autos, acordam os Ministros da Quinta Turma do Superior Tribunal de Justiça, na conformidade dos votos e das notas taquigráficas a seguir, por unanimidade, negar provimento ao agravo regimental. Os Srs. Ministros Gurgel de Faria, Newton Trisotto (Desembargador convocado do TJ/SC), Walter de Almeida Guilherme (Desembargador convocado do TJ/SP) e Felix Fischer votaram com o Sr. Ministro Relator. Brasília (DF), 18 de novembro de 2014(Data do Julgamento) MINISTRO JORGE MUSSI Relator""
Copiar T","06/11/2023, 21:29:58"
00:33:16,00:30:58,1662,1.0,"
DO DIREITO 



A)  DA REVOGAÇÃO DA PRISÃO PREVENTIVA, SEM A IMPOSIÇÃO DE MEDIDAS RESTRITIVAS DA LIBERDADE SUBSTITU TIVA AO CÁRCERE.


Por exigência constitucional Art. 5° da Constituição Federal (Art. 5° LXI e artigo 93, IX, da Constituição Federal de 1988, artigo 310, caput e artigo 315, do Código de Processo Penal) a segregação cautelar, em razão de sua excepcionalidade, deve ser devidamente fundamentada, nas palavras do Supremo Tribunal Federal, ""com base em elementos concretos e individualizados aptos a demonstrar a necessidade da prisão do indivíduo"" (HC 113.119, 12 t.. Rel. Min. DIAS TOFF, Dje 04/12/2012).

Essa motivação deve dizer respeito, como se sabe, não só a presença dos indícios de autoria e prova da materialidade do delito ( última pArt. 312 do Código de Processo Penal), como, também, á subsunção dos fatos alheios ao tipo penal (*Ante o princípio da não culpa-bilidade, a simples imputação não respalda a prisão preventiva"" (STF, HC 108.249, 1a T., Rel. Min. MARCO AURÉLIO, Dje 12.11.2012), aos autorizadores da prisão (periculum libertatis - primeira parte do Art. 312, Código de Processo Penal: garantia da ordem pública, da ordem econômica, conveniência da instrução criminal ou assegurar a aplicação da lei penal).

Como se verá a seguir, não há na decisão atacada a imprescindível demonstração concreta da existência dos requisitos que autorizam a prisãom e condeanção, razão pela qual ela deve ser imediatamente revogada.
""O RISCO DE VOLTAR A DELINOUIR"" E A ORDEM PÚBLICA é inexistente, pois trata-se de um caso isolado no comportamento dos réus. Sendo assim, podendo responder em liberdade conforme o artigo 650 do código de processo penal.


","06/11/2023, 21:30:13"
00:00:10,00:00:01,1662,1.0,afsdf,"06/11/2023, 21:31:17"
00:34:19,00:24:18,1662,1.0,"DOS FUNDAMENTOS JURÍDICOS: 
1.1 Tentativa de furto qualificado:
Mediante o art. 155, parágrafo 4°, inciso I e IV do CP, que tipifica o crime de furto qualificado na modalidade tentada. Na denúncia, os acusados foram flagrados enquanto tentavam utilizar equipamentos para romper a placa de aço e ter acesso ao conteúdo dos caixas eletrônicos do Banco Peixe.
1.2 Prisão em flagrante de Ricardo:
Ricardo teve sua prisão convertida em prisão preventiva, fundamentada na garantia da ordem pública. A decisão se baseou em sua coodenação anterior pela prática de furto de caixa eletrônico, cuja pena foi cumprida e extinta em 10/104/19, evidenciando um histórico de crimes recorrentes


DO MÉRITO:
2.1 Confissão dos Réus:
 Os réus em questão confessaram a tentativa de arrombamento, afirmando que com serrote e chave de fenda, tentaram romper a ferragem do caixa ou abrir os parafusos, mas não obtiveram sucesso, apenas causando arranhões a proteção de aço.
2.2 Laudo do Bnaco Peixe:
A diligência requerida pela defesa, foi anexada aos autos um ofício do Banco Peixe, informando que a estrutura do caixa eletrônico é imune à ação mecânica por força humana e que os acusados não lograram danificar a estrutura do caixa eletrônico. Este laudo reforça a conduta ineficiente dos réus.
2.3 Pedido do Ministério Público:
O Ministério Público postulou pela coodenação dos acusados nos termos da denúncia, apesar das evidências de que a tentativa de furto qualificado não fora consumada devido à imunidade do caixa eletrônico à ação mecânica por força humana. Dinate dos elementos apresentados, considerando a confissão dos réus e o laudo do Banco Peixe, solicito a este Juízo que analise os fatos à luz da legislação pertinente e, com base nas provas produzidas, conclua que a conduta dos réus não configura tentativa de furto qualificado, devendo ser absolvidos das imputações em questão, conforme o disposto no art. 386, inciso III, do CPP.
Neste sentido, requer-se a absolvição de Ricardo e Roberto quanto à imputação de furto qualificado na modalidade tentada, com base nos elementos constante nos autos. 
Termos em que, pede deferimento.
Fortaleza, 06 de Novembro de 2023
XUIUS
OAB/XX 0000000

","06/11/2023, 21:32:20"
00:37:32,00:33:31,1662,1.0,"1. DO DIREITO:

Os réus foram denunciados sob a pena do crime de furto qualificado, previsto no Art. 155, §4º, I e IV, do Código Penal.

""Art. 155 - Subtrair, para si ou para outrem, coisa alheia móvel

§ 4o - A pena é de reclusão de dois a oito anos, e multa, se o crime é cometido:

I - com destruição ou rompimento de obstáculo à subtração da coisa;

IV - mediante concurso de duas ou mais pessoas;
A pena é de reclusão de 4 (quatro) a 10 (dez) anos e multa, se houver emprego de explosivo ou de artefato análogo que cause perigo comum. (Incluído pela Lei no 13.654, de 2018)""


Porém, não é cabível esta aplicação, pois o crime não chegou a ser cometido, visto que não houve o prejuízo à estrutura do caixa eletrônico e nada foi levado, então, apenas houve a tentativa. Com isso, não se aplica tal fundamento. 
Diante disso, vêm os seguintes fundamentos.


1.1. DO PEDIDO DE REVOGAÇÃO


Com base no exposto acima, pede-se a revogação de prisão dos réus, pois não existe motivo que leve a esta prisão preventiva. Isso, com fulcro no Art. 282, §5º, do CPP 

""Art. 282. As medidas cautelares previstas neste Título deverão ser aplicadas observando-se a:

§5º  O juiz poderá, de ofício ou a pedido das partes, revogar a medida cautelar ou substituí-la quando verificar a falta de motivo que subsista, bem como voltar a decretá-la, se sobrevierem razões""


1.2. DA TENTATIVA


Como exposto, apenas houve a tentiva de furto, conforme o Art. 14, II, do CP.

""Art. 14 - Diz-se o crime: (Redação dada pela Lei nº 7.209, de 11.7.1984)

II - tentado, quando, iniciada a execução, não se consuma por circunstâncias alheias à vontade do agente. (Incluído pela Lei nº 7.209, de 11.7.1984)""



































","06/11/2023, 21:33:01"
00:00:11,00:00:01,1662,1.0,oioi,"06/11/2023, 21:33:20"
00:17:18,00:17:13,1662,1.0,"súmula 182 do STJ

","06/11/2023, 21:35:03"
00:40:06,00:35:53,1662,1.0,"Pedido de Relaxamento de Prisão com fundamento no Art. 5°, LXV da Constituição Federal Federal e Art. 311 do Código de Processo Penal, de acordo com os fatos e fundamentos jurídicos a seguir exposto.  Os peticionantes foi presos em flagrante no dia 10/08/2020 sob a imputação de supostamente ter cometido crime tipificado no artigo 311 do codigo penal. Apesar da situação a qual se encontrou os indicados, de flagrante impróprio, tipificado no artigo 302, IV do Codigo Penal.

O artigo 319 do CPP, em sua redação traz os requisitos que fundamentam a prisão preventiva quando há a fummus comissis dlicti, que são os indícios suficientes de autoria e a prova da materialidade. Inicialmente presente esses requisitos poderá haver a prisão preventiva do réu ou indiciado.




","06/11/2023, 21:35:27"
00:22:18,00:21:47,1662,1.0,"RESPOSTA À ACUSAÇÃO


DO DIREITO


Na situação relatada nos autos, verifica-se que todos os requisitos para a aplicação do principio da insignificancia encontram-se presentes. Isso por que, não houve bens furtados, tendo provas e foi juntado aos autos um ofício do Banco Peixe, que informou ao Juízo que a estrutura do caixa eletrônico é de aço, imune à ação mecânica por força humana, e que os acusados não lograram danificar a estrutura do caixa eletrônico. No caso em tela, o crime não se consumou haja vista que em nenhum momento o autor teve a posse tranquila das coisas subtraidas, sendo certo que fora preso em flagrante quando deixava o local dos fatos. 

A reprovabilidade da conduta é inexpressiva, levando em consideração que não aconteceu nenhum dano. No entanto para absolver o réu com fulcro no artigo 386, III do CPP. A Constituição Federal logo em seu artigo 1º, inciso III, estabelece que a República Federativa do Brasil constitui-se em Estado Democrático de Direito, o qual tem como fundamento a dignidade da pessoa humana.Conforme art. 1°, III da cf - a dignidade da pessoa humana. ","06/11/2023, 21:38:31"
00:44:14,00:39:29,1662,1.0,"Excelentíssima Juíza de Direito da 5ª Vara Criminal da Comarca Barnebau


RICARDO E ROBERTO, vêm por meio de sua adogado, constando procuração, em anexo, apresentar pedido de liberdade provisória.   


 I -DO DIREITO    


Os réus pleiteam a presente medida, com base art. 310, III  e 319, CPB. 
O réu Ricardo, tendo em vista que o apenado teve a sua pena pela pratica de furto( art. 155, CP) cumprida e extinta como consta na exordial, na data do ano de 2019, este não traz o periculum constado nas hipóteses do art. 319 do CPP, vem a este douto juízo requerer a sua conversão de prisão preventiva para Liberdade Provisória, com base nosa autos constados no Processo que inviabiliza  a sua condenação requerida pelo Ministério Público. 
Considerando o réu Roberto, o apenado que cumpriu 30 dias de prisão preventiva, enquadra-se como réu primário, não incindindo nas hipóteses do supracitado art.319, CPP. 
Portanto, solicito a conversão de sua pena privativa para a liberdade provisória ou recebendo o HC já impetrado.


 ","06/11/2023, 21:39:43"
00:25:01,00:20:49,1662,1.0,"RESPOSTA Á ACUSAÇÃO.


AO JUIZO CRIMINAL DA COMARCA DE BARNABEU-CN


1 - DO DIREITO


Art. 1° CF Art. 1o A República Federativa do Brasil, formada pela união indissolúvel dos Estados e Municípios e do Distrito Federal, constitui-se em Estado democrático de direito e tem como fundamentos.


Art. 386 CPP, inciso III O juiz absolverá o réu, mencionando a causa na parte dispositiva, desde que reconheça:
Inciso III :  Não constituir o fato ou infração penal.


Art. 158 CPP  - Constranger alguém, mediante violência ou grave ameaça, e com o intuito de obter para si ou para outrem indevida vantagem econômica, a fazer, tolerar que se faça ou deixar de fazer alguma coisa.










","06/11/2023, 21:40:52"
00:11:19,00:11:16,1662,1.0,"Tipo de peça:  Memorial


Excelentissimo  Senhor Doutor Juiz  de Direito da vara criminal de Barnabeu.




Do direito
Art. 386. O juiz absolverá o réu, mencionando a causa na parte dispositiva, desde que reconheça:
               III - não constituir o fato infração penal;





        art. 396-A. Na resposta, o acusado poderá argüir preliminares e alegar tudo o que interesse à sua defesa, oferecer documentos e justificações, especificar as provas pretendidas e arrolar testemunhas, qualificando-as e requerendo sua intimação, quando necessário. 
","06/11/2023, 21:41:00"
00:00:31,00:00:15,1662,1.0,ABC,"06/11/2023, 21:41:21"
00:44:15,00:40:10,1662,1.0,"Memoriais
Inicialmente, observa-se que se faz necessária a absolvição dos acusados, visto que , conforme ofício da própria vítima o caixa eletrônico objeto da ação é imune a ação humana, configurando pois crime impossível previsto no art. 17 do Código Penal, visto tratar-se de uma tentiva.

Subsidiariamente, caso Vossa Excelência entenda pela condenação dos acusado, cumpre destacar que não cabe a qualificadora presente no §4º, inciso I, do Art. 155 do CP, considerando que, conforme informação do banco vítima não conseguiram danificar a estrutura do cofre, não podendo assim se dizer que houve rompimento de obstáculo. 
Além disso, em caso de condenação deve ser aplicada atenuante prevista no Art. 65, III, d , do CP , tendo em vista que os acusados confessaram a prática da infração. 







","06/11/2023, 21:42:34"
